timestamp,WDI/NE.CON.PRVT.CD/USA
1970-01-01,646724000000
1971-01-01,699937000000
1972-01-01,768153000000
1973-01-01,849575000000
1974-01-01,930161000000
1975-01-01,1030547000000
1976-01-01,1147666000000
1977-01-01,1273975000000
1978-01-01,1422252000000
1979-01-01,1585420000000
1980-01-01,1750667000000
1981-01-01,1933951000000
1982-01-01,2071256000000
1983-01-01,2281605000000
1984-01-01,2492340000000
1985-01-01,2712830000000
1986-01-01,2886278000000
1987-01-01,3076279000000
1988-01-01,3330012000000
1989-01-01,3576758000000
1990-01-01,3808994000000
1991-01-01,3943449000000
1992-01-01,4197559000000
1993-01-01,4451984000000
1994-01-01,4720965000000
1995-01-01,4962590000000
1996-01-01,5244596000000
1997-01-01,5536790000000
1998-01-01,5877248000000
1999-01-01,6283758000000
2000-01-01,6767179000000
2001-01-01,7073801000000
2002-01-01,7348941000000
2003-01-01,7740749000000
2004-01-01,8231960000000
2005-01-01,8769066000000
2006-01-01,9277236000000
2007-01-01,9746594000000
2008-01-01,10050083000000
2009-01-01,9891218000000
2010-01-01,10260256000000
2011-01-01,10698857000000
2012-01-01,11047363000000
2013-01-01,11363528000000
2014-01-01,11847725000000
2015-01-01,12263476000000
2016-01-01,12693266000000
2017-01-01,13233609000000
2018-01-01,13904979000000
2019-01-01,14392721000000
2020-01-01,14116166000000
2021-01-01,15902575000000